,lon,lat,datetime,adt,ugos,vgos,vgosa,err,sla,ugosa,mag,analysed_sst,analysis_error
0,-78.98439223,27.18793505,2014-11-15,0.7547,-0.1131,-0.1304,-0.1345,0.0301,0.0744,-0.0919,0.172614513,297.909,0.38
1,-78.95282498,27.17238578,2014-11-16,0.761,-0.1161,-0.1199,-0.124,0.0314,0.0807,-0.0948,0.166898832,297.814,0.38
2,-78.92459844,27.15675044,2014-11-17,0.7579,-0.1178,-0.1067,-0.1108,0.033,0.0776,-0.0965,0.158939391,297.907,0.39
3,-78.91246217,27.14615786,2014-11-18,0.7619,-0.0891,-0.052,-0.0562,0.0321,0.0816,-0.0678,0.103163996,298.255,0.4
4,-78.92916575,27.14573839,2014-11-19,0.7529,-0.0526,-0.0374,-0.0415,0.0327,0.0726,-0.0313,0.06454084,299.086,0.41
5,-78.98745872,27.16062035,2014-11-20,0.7529,-0.0468,0.0312,0.027,0.0333,0.0726,-0.0255,0.0562466,299.624,0.41
6,-79.09873853,27.19541617,2014-11-21,0.7732,-0.0292,0.1163,-0.0777,0.0233,0.0977,-0.0172,0.119909674,298.926,0.41
7,-79.2743831,27.25507958,2014-11-22,0.7154,0.0014,0.4804,-0.2118,0.0184,0.1138,0.0252,0.48040204,299.743,0.41
8,-79.39490929,27.30909778,2014-11-23,0.7137,-0.0073,0.4427,-0.2495,0.0182,0.1121,0.0166,0.442760183,299.346,0.4
9,-79.48233566,27.35695499,2014-11-24,0.706,-0.022,0.3936,-0.2986,0.0179,0.1044,0.0019,0.394214358,299.558,0.39
10,-79.49109774,27.38322669,2014-11-25,0.7012,-0.0058,0.3704,-0.3218,0.0178,0.0996,0.0181,0.370445408,299.561,0.39
11,-79.37329968,27.37008661,2014-11-26,0.6988,0.0054,0.3461,-0.3461,0.0177,0.0973,0.0292,0.346142124,299.839,0.39
12,-79.27108191,27.35650795,2014-11-27,0.6957,0.0003,0.3576,-0.3346,0.0178,0.0941,0.0241,0.357600126,299.873,0.38
13,-79.25583472,27.35516011,2014-11-28,0.6862,-0.0022,0.333,-0.3592,0.0178,0.0846,0.0216,0.333007267,299.933,0.39
14,-79.20201259,27.33428513,2014-11-29,0.7337,0.0494,0.3283,0.1246,0.0184,0.0573,0.0539,0.331995858,299.71,0.39
15,-79.14626861,27.31705843,2014-11-30,0.7329,0.0253,0.3415,0.1378,0.0187,0.0564,0.0297,0.342435892,299.159,0.38
16,-79.14639479,27.32614589,2014-12-01,0.7367,0.0138,0.3511,0.1475,0.0191,0.0603,0.0183,0.3513711,299.019,0.38
17,-79.16867927,27.35942524,2014-12-02,0.7423,-0.0086,0.3446,0.1409,0.0193,0.0659,-0.0041,0.344707296,299.407,0.38
18,-79.12635561,27.39681302,2014-12-03,0.7456,-0.029,0.3417,0.138,0.0192,0.0691,-0.0245,0.342928404,299.246,0.39
19,-79.0962681,27.44285587,2014-12-04,0.7476,-0.0558,0.3185,0.1148,0.0187,0.0712,-0.0514,0.323351032,299.227,0.38
20,-79.0676465,27.48742442,2014-12-05,0.7533,-0.0632,0.2644,0.0608,0.0177,0.0769,-0.0587,0.271848487,299.512,0.37
21,-79.09148322,27.53203726,2014-12-06,0.7664,-0.0747,0.2585,0.0726,0.0181,0.0911,-0.0808,0.269076829,299.546,0.37
22,-79.10839818,27.54111245,2014-12-07,0.7692,-0.1077,0.2284,0.0426,0.0173,0.0939,-0.1138,0.252519009,299.441,0.36
23,-79.12841103,27.51998387,2014-12-08,0.7727,-0.119,0.192,0.0061,0.017,0.0974,-0.1251,0.22588714,299.128,0.37
24,-79.11024439,27.44240919,2014-12-09,0.7426,-0.1455,0.0644,-0.1392,0.0152,0.0662,-0.141,0.159115084,298.63,0.38
25,-79.04644587,27.33961317,2014-12-10,0.7448,-0.1387,0.0253,-0.1783,0.0158,0.0684,-0.1342,0.140988581,298.196,0.38
26,-78.9880761,27.23199387,2014-12-11,0.7003,-0.154,0.0562,0.0521,0.024,0.02,-0.1328,0.163934255,296.768,0.39
27,-79.00477093,27.1461908,2014-12-12,0.7156,-0.0883,-0.1002,-0.2942,0.0168,0.0401,-0.0764,0.13355497,296.017,0.39
28,-79.14968962,27.10030801,2014-12-13,0.7103,-0.0881,-0.0859,-0.2799,0.0175,0.0349,-0.0761,0.123046414,297.483,0.39
29,-79.30318806,27.06342431,2014-12-14,0.6912,-0.049,0.3088,-0.3977,0.014,0.0907,-0.0394,0.312663461,298.486,0.37
30,-79.39392334,27.02123244,2014-12-15,0.6778,-0.0483,0.3101,-0.3964,0.0138,0.0773,-0.0387,0.313838971,298.451,0.36
