lon,lat,datetime,adt,ugos,vgos,vgosa,err,sla,ugosa,mag,EKE,analysed_sst,analysis_error
-79.25711165,27.04514903,2014-05-14,0.657,0.0202,0.8906,0.1841,0.0144,0.0565,0.0297,0.890829052,0.01738745,299.999,0.39
-79.25877008,27.0563223,2014-05-15,0.6559,0.0157,0.8565,0.15,0.0143,0.0554,0.0252,0.856643882,0.01156752,299.826,0.4
-79.25805499,27.07044261,2014-05-16,0.661,0.0073,0.8125,0.106,0.0144,0.0605,0.0168,0.812532793,0.00575912,299.753,0.41
-79.24682977,27.09501878,2014-05-17,0.7475,-0.0189,0.196,0.002,0.0195,0.0721,-0.0069,0.196909141,2.58E-05,299.511,0.4
-79.22290283,27.12843399,2014-05-18,0.7346,-0.0483,0.128,-0.066,0.02,0.0592,-0.0363,0.136809685,0.002836845,299.317,0.39
-79.2330844,27.09616821,2014-05-19,0.7243,-0.0567,0.0559,-0.1381,0.0199,0.0489,-0.0448,0.079622233,0.010539325,299.37,0.38
-79.20394853,27.13262243,2014-05-20,0.712,-0.058,0.0181,-0.1759,0.0199,0.0366,-0.046,0.060758621,0.016528405,299.31,0.38
-79.16864853,27.19455173,2014-05-21,0.6999,-0.0611,-0.0036,-0.1976,0.0198,0.0245,-0.0491,0.061205964,0.020728285,299.227,0.37
-79.1654717,27.2111304,2014-05-22,0.6889,-0.0571,-0.0418,-0.2358,0.0197,0.0135,-0.0451,0.070764751,0.028817825,299.327,0.37
-79.12827228,27.26039258,2014-05-23,0.6999,-0.1358,0.0089,-0.1947,0.0176,0.0235,-0.1313,0.13609133,0.02757389,299.775,0.37
-79.15473922,27.12080868,2014-05-24,0.6827,-0.0413,-0.0379,-0.2319,0.0196,0.0072,-0.0294,0.056054438,0.027320985,300.136,0.37
-79.18044429,26.95086213,2014-05-25,0.6881,0.0626,0.0052,-0.1837,0.021,0.0166,0.0817,0.062815603,0.02021029,300.604,0.38
-79.15721214,26.85803474,2014-05-26,0.6896,0.0654,0.0259,-0.163,0.0209,0.0181,0.0846,0.070341808,0.01686308,300.307,0.39
-79.10062184,26.83260592,2014-05-27,0.6951,0.0652,0.0757,-0.1132,0.0208,0.0236,0.0843,0.099907607,0.009960365,300.315,0.39
-79.0359167,26.84995738,2014-05-28,0.7038,0.0717,0.1249,-0.064,0.0209,0.0323,0.0908,0.144017013,0.00617032,300.389,0.39
-78.9971665,26.87444141,2014-05-29,0.7194,0.1026,0.1497,0.1565,0.0284,0.0477,0.1341,0.181485123,0.02123753,300.715,0.39
-79.00623586,26.86032405,2014-05-30,0.7191,0.0554,0.2286,0.0397,0.021,0.0476,0.0745,0.235217176,0.00356317,300.734,0.39
-79.07371548,26.81893596,2014-05-31,0.7261,0.0361,0.272,0.0831,0.0213,0.0546,0.0553,0.274385149,0.00498185,300.551,0.4
-79.11041796,26.87743297,2014-06-01,0.7392,0.0042,0.3057,0.1168,0.0218,0.0678,0.0233,0.30572885,0.007092565,300.353,0.41
-79.13597342,26.97251314,2014-06-02,0.757,-0.0061,0.3443,0.1554,0.0222,0.0855,0.013,0.344354033,0.01215908,299.488,0.41
-79.13802062,26.92319079,2014-06-03,0.7603,-0.03,0.3663,0.1774,0.0225,0.0888,-0.0108,0.367526448,0.0157937,300.454,0.4
-79.09060267,26.83002428,2014-06-04,0.7716,-0.0358,0.4031,0.2143,0.0229,0.1001,-0.0167,0.404686607,0.02310169,300.594,0.38
-79.00375224,26.89561596,2014-06-05,0.7795,-0.0627,0.484,0.2951,0.0232,0.108,-0.0436,0.488044352,0.044492485,300.466,0.37
-78.93781785,27.04019676,2014-06-06,0.8398,0.0878,0.302,0.2979,0.0234,0.1595,0.1091,0.314504118,0.05032361,301.14,0.37
-78.93678948,27.15578694,2014-06-07,0.8439,0.0873,0.2997,0.2956,0.0223,0.1636,0.1085,0.312156019,0.049575805,301.081,0.38
-78.99495472,27.22544996,2014-06-08,0.8383,0.065,0.2905,0.2864,0.0217,0.158,0.0863,0.297683137,0.044736325,301.225,0.38
-79.07641334,27.26326049,2014-06-09,0.7655,0.0978,0.4407,0.237,0.0188,0.089,0.1023,0.451421455,0.033317145,301.374,0.38
-79.15929227,27.27636959,2014-06-10,0.7584,0.063,0.4366,0.2329,0.0184,0.082,0.0674,0.441121933,0.029392585,301.281,0.38
-79.22741551,27.26073367,2014-06-11,0.7599,0.0546,0.4181,0.2145,0.0179,0.0835,0.0591,0.421650056,0.02475153,301.541,0.39
-79.26369362,27.22478577,2014-06-12,0.6662,0.0336,0.8699,0.1634,0.0146,0.0657,0.0431,0.87054866,0.014278585,301.561,0.4
-79.27473484,27.18763239,2014-06-13,0.6617,0.0258,0.8709,0.1644,0.0147,0.0612,0.0353,0.871282073,0.014136725,302.053,0.41
-79.26158904,27.16263381,2014-06-14,0.657,0.025,0.859,0.1525,0.0149,0.0565,0.0345,0.859363718,0.01222325,301.437,0.41
-79.23440119,27.15133676,2014-06-15,0.7517,-0.0006,0.3302,0.1362,0.0167,0.0763,0.0114,0.330200545,0.0093402,301.149,0.4
-79.21185661,27.13018174,2014-06-16,0.7478,-0.0156,0.3026,0.1086,0.0164,0.0724,-0.0037,0.303001848,0.005903825,301.388,0.39
-79.19711285,27.10508754,2014-06-17,0.742,-0.0192,0.2723,0.0782,0.0161,0.0666,-0.0073,0.272976061,0.003084265,301.546,0.38
-79.18747903,27.09081167,2014-06-18,0.7332,-0.0453,0.1556,-0.0384,0.0158,0.0578,-0.0334,0.16206002,0.00129506,301.569,0.38
-79.18450309,27.08866566,2014-06-19,0.7257,-0.048,0.1296,-0.0644,0.0154,0.0503,-0.0361,0.138203328,0.002725285,301.343,0.38
-79.19090638,27.09245495,2014-06-20,0.7257,-0.0425,0.148,-0.046,0.0152,0.0503,-0.0305,0.15398133,0.001523125,301.235,0.39
