,lon,lat,datetime,analysed_sst,analysis_error,mask,sea_ice_fraction
0,-78.98439223,27.18793505,2014-11-15,297.909,0.38,1,-1.28
1,-78.95282498,27.17238578,2014-11-16,297.814,0.38,1,-1.28
2,-78.92459844,27.15675044,2014-11-17,297.907,0.39,1,-1.28
3,-78.91246217,27.14615786,2014-11-18,298.255,0.4,1,-1.28
4,-78.92916575,27.14573839,2014-11-19,299.086,0.41,1,-1.28
5,-78.98745872,27.16062035,2014-11-20,299.624,0.41,1,-1.28
6,-79.09873853,27.19541617,2014-11-21,298.926,0.41,1,-1.28
7,-79.2743831,27.25507958,2014-11-22,299.743,0.41,1,-1.28
8,-79.39490929,27.30909778,2014-11-23,299.346,0.4,1,-1.28
9,-79.48233566,27.35695499,2014-11-24,299.558,0.39,1,-1.28
10,-79.49109774,27.38322669,2014-11-25,299.561,0.39,1,-1.28
11,-79.37329968,27.37008661,2014-11-26,299.839,0.39,1,-1.28
12,-79.27108191,27.35650795,2014-11-27,299.873,0.38,1,-1.28
13,-79.25583472,27.35516011,2014-11-28,299.933,0.39,1,-1.28
14,-79.20201259,27.33428513,2014-11-29,299.71,0.39,1,-1.28
15,-79.14626861,27.31705843,2014-11-30,299.159,0.38,1,-1.28
16,-79.14639479,27.32614589,2014-12-01,299.019,0.38,1,-1.28
17,-79.16867927,27.35942524,2014-12-02,299.407,0.38,1,-1.28
18,-79.12635561,27.39681302,2014-12-03,299.246,0.39,1,-1.28
19,-79.0962681,27.44285587,2014-12-04,299.227,0.38,1,-1.28
20,-79.0676465,27.48742442,2014-12-05,299.512,0.37,1,-1.28
21,-79.09148322,27.53203726,2014-12-06,299.546,0.37,1,-1.28
22,-79.10839818,27.54111245,2014-12-07,299.441,0.36,1,-1.28
23,-79.12841103,27.51998387,2014-12-08,299.128,0.37,1,-1.28
24,-79.11024439,27.44240919,2014-12-09,298.63,0.38,1,-1.28
25,-79.04644587,27.33961317,2014-12-10,298.196,0.38,1,-1.28
26,-78.9880761,27.23199387,2014-12-11,296.768,0.39,1,-1.28
27,-79.00477093,27.1461908,2014-12-12,296.017,0.39,1,-1.28
28,-79.14968962,27.10030801,2014-12-13,297.483,0.39,1,-1.28
29,-79.30318806,27.06342431,2014-12-14,298.486,0.37,1,-1.28
30,-79.39392334,27.02123244,2014-12-15,298.451,0.36,1,-1.28
31,-79.44723341,26.97685318,2014-12-16,299.025,0.36,1,-1.28
32,-79.46986943,26.93067581,2014-12-17,299.415,0.37,1,-1.28
33,-79.46745464,26.88302467,2014-12-18,299.439,0.38,1,-1.28
34,-79.44561231,26.8342246,2014-12-19,299.385,0.38,1,-1.28
35,-79.40996567,26.78460098,2014-12-20,299.395,0.37,1,-1.28
36,-79.36613799,26.73447973,2014-12-21,299.506,0.38,1,-1.28
37,-79.32114686,26.68426847,2014-12-22,299.302,0.38,1,-1.28
38,-78.74513869,26.44818354,2015-01-04,298.502,0.38,1,-1.28
39,-78.88391492,26.54045323,2015-01-05,298.585,0.38,1,-1.28
40,-79.0969167,26.71177262,2015-01-06,299.134,0.38,1,-1.28
41,-79.31543508,26.912771,2015-01-07,299.449,0.38,1,-1.28
42,-79.48440541,27.10674333,2015-01-08,299.595,0.38,1,-1.28
