lon,lat,datetime
-69.6886,41.6451,2021-10-08 0:00
-69.6695,41.6494,2021-10-08 14:24
-69.6833,41.6638,2021-10-08 14:42
-69.4191,41.7069,2021-10-09 0:27
-69.413,41.7066,2021-10-09 0:32
-69.3911,41.7079,2021-10-09 0:59
-69.3612,41.7184,2021-10-09 1:47
-69.3067,41.7303,2021-10-09 3:12
-69.0903,41.7056,2021-10-09 8:35
-68.9698,41.6973,2021-10-09 10:08
-68.5862,41.4771,2021-10-10 0:09
-68.5006,41.4352,2021-10-10 1:50
-68.5811,41.346,2021-10-10 2:34
-68.7499,41.2599,2021-10-10 2:58
-68.601,41.0215,2021-10-10 11:05
-68.1412,40.7112,2021-10-10 22:30
-68.2194,40.8717,2021-10-10 22:31
-68.1264,40.7291,2021-10-11 0:01
-68.4545,40.7576,2021-10-11 0:25
-68.1857,40.41,2021-10-11 13:21
-68.1841,40.4076,2021-10-11 13:27
-68.1605,40.3744,2021-10-11 14:56
-68.174,40.353,2021-10-11 15:08
-68.1579,40.3068,2021-10-11 16:49
-68.1373,40.1909,2021-10-11 22:42
-68.1249,40.1757,2021-10-11 23:34
-68.1388,40.1196,2021-10-12 0:40
-68.2558,39.8503,2021-10-12 10:17
-68.2601,39.8418,2021-10-12 10:31
-68.2474,39.8051,2021-10-12 12:37
-68.2382,39.8049,2021-10-12 13:00
-68.2222,39.7963,2021-10-12 13:15
-68.2188,39.7996,2021-10-12 13:22
-68.0919,39.3882,2021-10-13 10:15
-68.0925,39.3808,2021-10-13 10:45
-68.0972,39.3801,2021-10-13 10:55
-68.0907,38.9014,2021-10-14 10:02
-68.0994,38.8971,2021-10-14 10:33
-68.1011,38.891,2021-10-14 10:51
-68.1072,38.8863,2021-10-14 11:05
-68.1057,38.892,2021-10-14 11:35
-67.6885,38.5101,2021-10-15 10:37
-67.5984,38.4976,2021-10-15 12:00
-67.5664,38.4924,2021-10-15 12:00
-67.5887,38.5008,2021-10-15 12:17
-67.5157,38.4952,2021-10-15 13:55
-67.502,38.4825,2021-10-15 13:58
-66.2029,38.1321,2021-10-16 10:10
-66.2044,38.1325,2021-10-16 10:14
-66.1625,38.1387,2021-10-16 11:03
-66.128,38.1493,2021-10-16 11:30
-66.1436,38.1436,2021-10-16 11:32
-65.6508,38.2826,2021-10-17 1:32
-64.632,39.8466,2021-10-18 10:30
-64.648,39.8412,2021-10-18 10:35
-64.6303,39.8383,2021-10-18 10:51
-64.6359,39.8597,2021-10-18 10:58
-64.6148,39.8727,2021-10-18 11:24
-64.5924,39.9219,2021-10-18 12:35
-64.5927,39.922,2021-10-18 12:38
-63.8446,39.9904,2021-10-19 10:20
-63.8421,39.9921,2021-10-19 10:30
-63.8198,39.9923,2021-10-19 10:33
-63.8032,39.9857,2021-10-19 11:15
-63.632,39.745,2021-10-20 2:28
-63.2662,39.7514,2021-10-20 2:36
-63.2511,39.749,2021-10-20 3:24
-63.0994,39.3237,2021-10-21 10:34
-63.0975,39.3278,2021-10-21 10:48
-63.0965,39.3125,2021-10-21 11:23
-63.0981,39.3103,2021-10-21 11:28
-62.8936,39.1732,2021-10-22 0:00
-62.8888,39.1698,2021-10-22 0:14
