lon,lat,datetime
-79.25711165,27.04514903,2014-05-14
-79.25877008,27.0563223,2014-05-15
-79.25805499,27.07044261,2014-05-16
-79.24682977,27.09501878,2014-05-17
-79.22290283,27.12843399,2014-05-18
-79.2330844,27.09616821,2014-05-19
-79.20394853,27.13262243,2014-05-20
-79.16864853,27.19455173,2014-05-21
-79.1654717,27.2111304,2014-05-22
-79.12827228,27.26039258,2014-05-23
-79.15473922,27.12080868,2014-05-24
-79.18044429,26.95086213,2014-05-25
-79.15721214,26.85803474,2014-05-26
-79.10062184,26.83260592,2014-05-27
-79.0359167,26.84995738,2014-05-28
-78.9971665,26.87444141,2014-05-29
-79.00623586,26.86032405,2014-05-30
-79.07371548,26.81893596,2014-05-31
-79.11041796,26.87743297,2014-06-01
-79.13597342,26.97251314,2014-06-02
-79.13802062,26.92319079,2014-06-03
-79.09060267,26.83002428,2014-06-04
-79.00375224,26.89561596,2014-06-05
-78.93781785,27.04019676,2014-06-06
-78.93678948,27.15578694,2014-06-07
-78.99495472,27.22544996,2014-06-08
-79.07641334,27.26326049,2014-06-09
-79.15929227,27.27636959,2014-06-10
-79.22741551,27.26073367,2014-06-11
-79.26369362,27.22478577,2014-06-12
-79.27473484,27.18763239,2014-06-13
-79.26158904,27.16263381,2014-06-14
-79.23440119,27.15133676,2014-06-15
-79.21185661,27.13018174,2014-06-16
-79.19711285,27.10508754,2014-06-17
-79.18747903,27.09081167,2014-06-18
-79.18450309,27.08866566,2014-06-19
-79.19090638,27.09245495,2014-06-20
-79.19484822,27.10795845,2014-06-21
-79.18710936,27.14540577,2014-06-22
-79.1718025,27.19295991,2014-06-23
-79.1567302,27.23527813,2014-06-24
-79.15085313,27.25715614,2014-06-25
-79.14977473,27.26890219,2014-06-26
-79.15531442,27.26690878,2014-06-27
-79.16429705,27.25745343,2014-06-28
-79.17495332,27.24391605,2014-06-29
-79.1855139,27.22967736,2014-06-30
-79.19420948,27.21811969,2014-07-01
-79.19949156,27.21225992,2014-07-02
-79.19920264,27.21610052,2014-07-03
-79.19434939,27.22758804,2014-07-04
-79.18560646,27.2452471,2014-07-05
-79.17364854,27.267602,2014-07-06
-79.15915029,27.29317752,2014-07-07
-79.14286445,27.32042459,2014-07-08
-79.12532326,27.34801842,2014-07-09
-79.10692404,27.37584689,2014-07-10
-79.08801387,27.4038121,2014-07-11
-79.0690263,27.43179195,2014-07-12
-78.59232161,27.34074453,2014-07-24
-78.59581296,27.33902847,2014-07-25
-78.60457351,27.33513334,2014-07-26
-78.61728122,27.33012692,2014-07-27
-78.63498228,27.32383054,2014-07-28
